subID,age,total_session_time,total_speech_time,num_car,num_token,num_uniqueWord,num_utterance,num_noun,num_verb,num_adjective,type_token_ratio,mean_utterance_dur,mean_utterance_token_length
1201,24.3,603.036559,152.211692,3,448,143,101,70,88,14,0.319196428571429,1.35903296428571,4.51785714285714
1202,20.7,545.221096,209.879456,8,516,166,131,102,96,13,0.321705426356589,1.23458503529412,4.39411764705882
1203,18.8,596.456536,318.123084,12,732,146,182,201,102,44,0.199453551912568,1.56710878817734,4.01970443349754
1204,18.2,231.903573,129.97199,5,374,144,56,69,68,19,0.385026737967914,1.68794792207792,6.5974025974026
1205,18.1,355.008905,131.199583000001,8,373,129,77,60,74,15,0.345844504021448,1.12136395726497,4.53846153846154
1206,17.5,293.024018,165.499383,0,498,97,85,46,93,32,0.194779116465863,1.92441143023256,5.80232558139535
1207,25.3,564.244181,224.867327,5,755,200,148,119,120,28,0.264900662251656,1.30736818023256,4.91860465116279
1208,15.2,482.833801,189.796030999999,5,548,162,136,109,99,14,0.295620437956204,1.30893814482758,4.02758620689655
1209,16.2,226.35669,94.716045,2,144,49,59,37,11,12,0.340277777777778,1.479938203125,2.375
1210,19.2,918.975515,296.352153,3,749,188,84,137,132,45,0.251001335113485,2.370817224,8.048
1211,24.2,382.909441,218.340043,4,659,128,123,103,84,31,0.194233687405159,1.71921293700787,5.52755905511811
1212,21.7,649.650508,247.682009,10,855,206,165,122,145,29,0.24093567251462,1.44001168023256,5.25581395348837
1213,17.3,920.828004,396.670883999999,10,1248,213,226,182,243,64,0.170673076923077,1.53748404651163,5.74806201550388
1214,18.5,443.915782,174.27884,5,394,119,116,70,71,22,0.302030456852792,1.4769393220339,3.38135593220339
1215,18.2,477.436094,88.4778259999999,2,243,90,58,31,56,4,0.37037037037037,1.47463043333333,4.15
1216,17.8,476.720122,118.934106,2,345,106,85,55,56,27,0.307246376811594,1.26525644680851,4.0531914893617
1218,21.5,502.100137,231.313362,19,853,199,153,136,174,18,0.233294255568581,1.50203481818182,5.55844155844156
1219,19.7,494.307604,130.549851000001,5,500,155,150,98,77,19,0.31,0.864568549668879,3.3112582781457
1220,19.6,604.843967,165.113902999999,5,623,150,170,122,101,21,0.240770465489567,0.948930477011491,3.66091954022989
1221,21.6,329.262758,68.7598109999999,5,288,109,75,41,53,10,0.378472222222222,0.916797479999998,3.84
1222,22.1,297.498077,187.104859000001,0,372,129,91,72,50,27,0.346774193548387,1.18420796835444,4.0126582278481
1223,21.8,595.631735,307.506087999999,8,1126,247,216,206,198,57,0.219360568383659,1.41707874654378,5.25806451612903
1224,17.9,474.262187,118.445396,4,388,142,107,67,68,19,0.365979381443299,1.09671662962963,3.69444444444444
1225,21.1,600.499901,178.838018999999,3,619,187,137,106,112,43,0.302100161550889,1.29592767391304,4.49275362318841
1226,18.4,702.667728,300.904143999999,18,1222,216,255,199,182,76,0.176759410801964,1.10626523529411,4.875
1227,22,378.742816,127.990779,3,616,169,126,83,122,33,0.274350649350649,0.955155067164182,4.8134328358209
1228,17.9,257.407673,93.6731950000002,5,476,113,98,68,89,7,0.237394957983193,0.927457376237626,4.78217821782178
1229,16.3,497.044815,232.46241,0,840,207,170,140,175,41,0.246428571428571,1.34371335260116,4.91907514450867
1230,17.7,629.506782,244.185801999999,12,983,171,232,176,193,54,0.173957273652085,1.02169791631799,4.20083682008368
1231,22.1,614.350764,165.633832,8,479,116,133,101,66,18,0.242171189979123,1.1830988,3.58571428571429
1232,14.1,444.850883,71.8372520000002,5,264,86,69,53,36,15,0.325757575757576,0.970773675675679,3.82432432432432
1233,12.3,297.045017,172.144842,4,607,175,104,134,115,21,0.28830313014827,1.63947468571428,6.05714285714286
1234,15.9,402.769555,157.437479,10,591,183,106,116,87,34,0.309644670050761,1.40569177678572,5.41071428571429
1235,13.8,304.173596,111.179749,3,323,97,80,51,72,16,0.30030959752322,1.1007895940594,4.14851485148515
1236,15.2,358.587889,99.8383800000001,5,357,135,73,55,72,21,0.378151260504202,1.29660233766234,4.80519480519481
1237,13,313.978231,45.3076019999999,1,173,80,50,20,32,11,0.46242774566474,0.888384352941175,3.64705882352941
1238,14.4,185.967772,5.46312200000011,0,13,6,9,1,2,0,0.461538461538462,0.607013555555568,1.44444444444444
