#,,base:cevent_eye_roi_child,,,,,cevent_eye_roi_child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cevent_eye_roi_parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cevent_eye_joint-attend_both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cevent_inhand_child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cevent_inhand_parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cevent_speech_utterance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,individual_prop_by_cat,,,,,,,,,,,individual_mean_dur_by_cat,,,,,,,,,,,individual_freq_by_cat,,,,,,,,,,,individual_prop_by_cat,,,,,,,,,,,individual_mean_dur_by_cat,,,,,,,,,,,individual_freq_by_cat,,,,,,,,,,,individual_prop_by_cat,,,,,,,,,,,individual_mean_dur_by_cat,,,,,,,,,,,individual_freq_by_cat,,,,,,,,,,,individual_prop_by_cat,,,,,,,,,,individual_mean_dur_by_cat,,,,,,,,,,individual_freq_by_cat,,,,,,,,,,individual_prop_by_cat,,,,,,,,,,individual_mean_dur_by_cat,,,,,,,,,,individual_freq_by_cat,,,,,,,,,,individual_prop_by_cat,,,,,,,,,,,individual_mean_dur_by_cat,,,,,,,,,,,individual_freq_by_cat,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#subID,expID,onset,offset,category,trialsID,instanceID,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11
1502,15,623.4,629.4,11,1,10,0,0.38889,0,0,0,0,0,0,0,0,0.26111,0,2.3333,0,0,0,0,0,0,0,0,1.5667,0,10,0,0,0,0,0,0,0,0,10,0,0.23889,0,0,0,0,0,0,0,0,0.05,0,0.71667,0,0,0,0,0,0,0,0,0.3,0,20,0,0,0,0,0,0,0,0,10,0,0.105,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25984,0,0,0,0,0,0,0,0,0,0,0.51968,0,0,0,0,0,0,0,0,0,0,30
1503,15,232.93,238.93,11,1,1,0,0,0,0,0,0,0.30556,0,0.044444,0,0.077778,0,0,0,0,0,0,0.91667,0,0.26667,0,0.46667,0,0,0,0,0,0,20,0,10,0,10,0,0,0,0,0,0,0.36111,0,0,0,0.14444,0,0,0,0,0,0,2.1667,0,0,0,0.86667,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0.22222,0,0,0,0,0,0,0,0,0,0,1.3333,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.43333,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18889,0,0,0,0.16786,0,0,0,0,0,0,1.1333,0,0,0,1.0071,0,0,0,0,0,0,10,0,0,0,10
1504,15,53.233,59.233,11,1,1,0,0,0,0,0,0,0,0,0,0,0.26667,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.70556,0,0,0,0,0,0,0,0,0,0,2.1167,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.27691,0,0,0,0,0,0,0,0,0,0,0.83072,0,0,0,0,0,0,0,0,0,0,20
1504,15,70.133,76.133,11,1,2,0,0,0,0,0,0,0,0,0,0,0.33333,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.48333,0,0,0,0,0,0,0,0,0,0,0.96667,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0.33333,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.28385,0,0,0,0,0,0,0,0,0,0,0.56771,0,0,0,0,0,0,0,0,0,0,30
1504,15,76.967,82.967,11,1,3,0,0.2,0,0,0,0,0,0,0,0,0.5,0,1.2,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.63889,0,0,0,0,0,0,0,0,0,0,3.8333,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.49944,0,0,0,0,0,0,0,0,0,0,2.9967,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25049,0,0,0,0,0,0,0,0,0,0,0.75146,0,0,0,0,0,0,0,0,0,0,20
1504,15,91.533,97.533,11,1,4,0,0,0.16111,0,0,0,0,0,0,0,0.25556,0,0,0.96667,0,0,0,0,0,0,0,1.5333,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57222,0,0,0,0,0,0,0,0,0,3.4333,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43173,0,0,0,0,0,0,0,0,0,0,0.51808,0,0,0,0,0,0,0,0,0,0,50
1504,15,100.37,106.37,11,1,5,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.57778,0,0,0,0,0,0,0,0,0,0,3.4667,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22778,0,0,0,0,0,0,0,0,0,1.3667,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074437,0,0,0,0,0,0,0,0,0,0,0.22331,0,0,0,0,0,0,0,0,0,0,20
1504,15,105.57,111.57,11,1,6,0,0,0,0,0,0,0,0,0,0,0.18333,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.53889,0,0,0,0,0,0,0,0,0,0,3.2333,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.18333,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37778,0.016667,0,0,0,0,0,0,0,0,2.2667,0.1,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15374,0,0,0,0,0,0,0,0,0,0,0.30747,0,0,0,0,0,0,0,0,0,0,30
1504,15,150.47,156.47,11,1,7,0,0,0.73333,0,0,0,0,0,0,0,0.12778,0,0,2.2,0,0,0,0,0,0,0,0.76667,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.87778,0,0,0,0,0,0,0,0,0,0,2.6333,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.12833,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055556,0,0,0,0,0,0,0,0,0,0.33333,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.16674,0,0,0,0,0,0,0,0.16674,0,0,1.0004,0,0,0,0,0,0,0,0.50022,0,0,10,0,0,0,0,0,0,0,20
1504,15,157.67,163.67,11,1,8,0,0,0.62222,0,0,0,0,0,0,0,0.10556,0,0,1.8667,0,0,0,0,0,0,0,0.63333,0,0,20,0,0,0,0,0,0,0,10,0,0,0.18889,0,0,0,0,0,0,0,0.73333,0,0,1.1333,0,0,0,0,0,0,0,2.2,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.10667,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,10,0,0,0.18333,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.80556,0,0,0,0,0,0,0,0,0,1.6111,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28882,0,0,0,0,0,0,0,0,0,0,0.57763,0,0,0,0,0,0,0,0,0,0,30
